WEEK,PAGE LINK, REPLACE TO REPLACE, REPLACEMENT LINK 
Week 2,https://byui.instructure.com/courses/17648/pages/w02-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=1
Week 3,https://byui.instructure.com/courses/17648/pages/w03-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=2
Week 4,https://byui.instructure.com/courses/17648/pages/w04-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=3
Week 5,https://byui.instructure.com/courses/17648/pages/w05-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=4
Week 6,https://byui.instructure.com/courses/17648/pages/w06-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=5
Week 7,https://byui.instructure.com/courses/17648/pages/w07-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=6
Week 8,https://byui.instructure.com/courses/17648/pages/w08-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=7
Week 9,https://byui.instructure.com/courses/17648/pages/w09-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=8
Week 10,https://byui.instructure.com/courses/17648/pages/w10-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=9
Week 11,https://byui.instructure.com/courses/17648/pages/w11-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=10
Week 12,https://byui.instructure.com/courses/17648/pages/w12-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=11
Week 13,https://byui.instructure.com/courses/17648/pages/w13-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=12
Week 14,https://byui.instructure.com/courses/17648/pages/w14-study-digging-deeper,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe.html,https://content.byui.edu/integ/gen/7a262da4-897d-47fc-a0ac-4b07a1f1e964/0/digging-deeper-iframe-latest.html?course=122&module=13
